name,id,productCode,subcategory,link,osp,mrp,ratings,discount,size,color,vendor,brand,sellerName,sheetPrice,metadata,time
"NIVIA Sleek Tummy Ab Exerciser  (Green, Black)",STEEWYGEJZ2GK4SP,STEEWYGEJZ2GK4SP_-7593666437066825946_1681658995251915000_1,SportFitness,https://www.flipkart.com/product/p/item?pid=STEEWYGEJZ2GK4SP&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,420.0,450.0,3.9,6% off,,,flipkart,NIVIA,BTPL Distribution Private Limited,450.0,"{'Model Name': 'Sleek Tummy', 'Part Number ID': 'TT832', 'Ideal For': 'Men, Women', 'Width': '12 cm', 'Height': '22 cm', 'Weight': '0.5 kg'}",1681658995251915000
Priyal Enterprises Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser Ab Exerciser  (Multicolor),ABEFSVCZUJZ6W6ZX,ABEFSVCZUJZ6W6ZX_-7593666437066825946_1681658995251915000_2,SportFitness,https://www.flipkart.com/product/p/item?pid=ABEFSVCZUJZ6W6ZX&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,347.0,1990.0,3.9,82% off,,,flipkart,Priyal Enterprises,BTPL Distribution Private Limited,2147.0,"{'Model Name': 'Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser', 'Part Number ID': 'PE-65214', 'Ideal Usage': 'Stretching & Toning', 'Sport Type': 'Complete Body Exerciser', 'Material': 'Plastic', 'Usage': 'Home Gym', 'Other Features': 'Resistance tube exerciser Workout Set Revolex Extreme. Flexible sliding wheels on the sides with sponge coated handles for better grip and comfort. Develops your chest, back, arms, shoulders and abs in one movement. Easy to workout in Office, Park, Home, Outdoor.', 'Sales Package': '1', 'Width': '12 cm', 'Height': '41 cm', 'Weight': '0.8 kg'}",1681658995251915000
Priyal Enterprises Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser Ab Exerciser  (Multicolor),ABEFSVCZUJZ6W6ZX,ABEFSVCZUJZ6W6ZX_-7593666437066825946_1681658995251915000_3,SportFitness,https://www.flipkart.com/product/p/item?pid=ABEFSVCZUJZ6W6ZX&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,347.0,1990.0,3.9,82% off,,,flipkart,Priyal Enterprises,BTPL Distribution Private Limited,2147.0,"{'Model Name': 'Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser', 'Part Number ID': 'PE-65214', 'Ideal Usage': 'Stretching & Toning', 'Sport Type': 'Complete Body Exerciser', 'Material': 'Plastic', 'Usage': 'Home Gym', 'Other Features': 'Resistance tube exerciser Workout Set Revolex Extreme. Flexible sliding wheels on the sides with sponge coated handles for better grip and comfort. Develops your chest, back, arms, shoulders and abs in one movement. Easy to workout in Office, Park, Home, Outdoor.', 'Sales Package': '1', 'Width': '12 cm', 'Height': '41 cm', 'Weight': '0.8 kg'}",1681658995251915000
Priyal Enterprises Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser Ab Exerciser  (Multicolor),ABEFSVCZUJZ6W6ZX,ABEFSVCZUJZ6W6ZX_-7593666437066825946_1681658995251915000_4,SportFitness,https://www.flipkart.com/product/p/item?pid=ABEFSVCZUJZ6W6ZX&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,347.0,1990.0,3.9,82% off,,,flipkart,Priyal Enterprises,BTPL Distribution Private Limited,2147.0,"{'Model Name': 'Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser', 'Part Number ID': 'PE-65214', 'Ideal Usage': 'Stretching & Toning', 'Sport Type': 'Complete Body Exerciser', 'Material': 'Plastic', 'Usage': 'Home Gym', 'Other Features': 'Resistance tube exerciser Workout Set Revolex Extreme. Flexible sliding wheels on the sides with sponge coated handles for better grip and comfort. Develops your chest, back, arms, shoulders and abs in one movement. Easy to workout in Office, Park, Home, Outdoor.', 'Sales Package': '1', 'Width': '12 cm', 'Height': '41 cm', 'Weight': '0.8 kg'}",1681658995251915000
Priyal Enterprises Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser Ab Exerciser  (Multicolor),ABEFSVCZUJZ6W6ZX,ABEFSVCZUJZ6W6ZX_-7593666437066825946_1681658995251915000_5,SportFitness,https://www.flipkart.com/product/p/item?pid=ABEFSVCZUJZ6W6ZX&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,347.0,1990.0,3.9,82% off,,,flipkart,Priyal Enterprises,BTPL Distribution Private Limited,2147.0,"{'Model Name': 'Ab Exerciser Revoflex Xtreme Home Gym Complete Body Exerciser', 'Part Number ID': 'PE-65214', 'Ideal Usage': 'Stretching & Toning', 'Sport Type': 'Complete Body Exerciser', 'Material': 'Plastic', 'Usage': 'Home Gym', 'Other Features': 'Resistance tube exerciser Workout Set Revolex Extreme. Flexible sliding wheels on the sides with sponge coated handles for better grip and comfort. Develops your chest, back, arms, shoulders and abs in one movement. Easy to workout in Office, Park, Home, Outdoor.', 'Sales Package': '1', 'Width': '12 cm', 'Height': '41 cm', 'Weight': '0.8 kg'}",1681658995251915000
"Strauss Double Ab Wheel Roller With Knee Pad | Abs Roller | Exercise Roller Wheel Ab Exerciser  (Blue, Black)",ABEEY3PG8TXND2VM,ABEEY3PG8TXND2VM_-7593666437066825946_1681658995251915000_6,SportFitness,https://www.flipkart.com/product/p/item?pid=ABEEY3PG8TXND2VM&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,419.0,875.0,4.1,52% off,,"Black, Blue",flipkart,Strauss,Health & Happiness Pvt. Ltd.,875.0,"{'Model Name': 'Double Ab Wheel Roller With Knee Pad | Abs Roller | Exercise Roller Wheel', 'Part Number ID': 'ST-1306', 'Ideal Usage': 'abs workout, abs & Core, slimming', 'Sport Type': 'Fitness', 'Material': 'PVC', 'Usage': 'Gym, Home', 'Other Features': 'DEPENDABLE DURABILITY - Our ab roller and mat are designed for regular and rigorous use. Double-wheel construction gives you greater stability during exercises. exercise wheel ab wheel, Material : PVC & Stainless Steel abs roller tummy trimmer, AB WORKOUT - Exercise Physiologists agree that regularly using an ab roller is fantastic for building up a stable core, for targeting specific muscle groups in your lower back and abdomen, and will actually help diminish the risk of muscle injury. exercise wheel roller ab roller for men, STRENGTH TRAINING AT HOME - Now you can get a professional-level total body workout with our Ab Workout Roller Wheel. Use to target your obliques, glutes, and other abdominal muscles, and get a great cardio workout at the same time! abs roller wheel ab roller wheel, KNEE MAT - The included foam knee mat will help prevent sore knees as you work the roller wheel into your full body workout routine abs workout abdominal exercise, ab roller with mat', 'Sales Package': '1 Ab roller with knee mat', 'Width': '12 cm', 'Height': '8 cm', 'Weight': '0.8 kg', 'Other Dimensions': 'N/A', 'Warranty Summary': 'N/A', 'Warranty Service Type': 'N/A', 'Covered in Warranty': 'N/A', 'Not Covered in Warranty': 'N/A'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_7,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_8,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_9,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_10,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_11,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_12,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_13,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Heavy Cricket Tennis Ball  (Pack of 3, Red)",BALFBXFKJMJJYCC8,BALFBXFKJMJJYCC8_-7593666437066825946_1681658995251915000_14,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKJMJJYCC8&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,179.0,349.0,4.2,48% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Gold Pack of 3 / Heavy_Int', 'Needle Included': 'No', 'Age Group': '>14 years', 'Designed For': 'Intermediate', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Hard Tennis Fur', 'Other Features': 'Ideal for semi professional tournament'}",1681658995251915000
"Adrenex by Flipkart Light Cricket Tennis Ball  (Pack of 3, Yellow)",BALFBXFKKEHPMPMK,BALFBXFKKEHPMPMK_-7593666437066825946_1681658995251915000_15,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKKEHPMPMK&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,206.0,349.0,4.2,40% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Silver Pack of 3 / Light_Int', 'Needle Included': 'No', 'Age Group': '5-14 Years', 'Designed For': 'Beginner', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Light tennis fur', 'Other Features': 'Ideal for gully Cricket'}",1681658995251915000
"Adrenex by Flipkart Light Cricket Tennis Ball  (Pack of 3, Yellow)",BALFBXFKKEHPMPMK,BALFBXFKKEHPMPMK_-7593666437066825946_1681658995251915000_16,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKKEHPMPMK&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,206.0,349.0,4.2,40% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Silver Pack of 3 / Light_Int', 'Needle Included': 'No', 'Age Group': '5-14 Years', 'Designed For': 'Beginner', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Light tennis fur', 'Other Features': 'Ideal for gully Cricket'}",1681658995251915000
"Adrenex by Flipkart Light Cricket Tennis Ball  (Pack of 3, Yellow)",BALFBXFKKEHPMPMK,BALFBXFKKEHPMPMK_-7593666437066825946_1681658995251915000_17,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKKEHPMPMK&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,206.0,349.0,4.2,40% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Silver Pack of 3 / Light_Int', 'Needle Included': 'No', 'Age Group': '5-14 Years', 'Designed For': 'Beginner', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Light tennis fur', 'Other Features': 'Ideal for gully Cricket'}",1681658995251915000
"Adrenex by Flipkart Light Cricket Tennis Ball  (Pack of 3, Yellow)",BALFBXFKKEHPMPMK,BALFBXFKKEHPMPMK_-7593666437066825946_1681658995251915000_18,SportFitness,https://www.flipkart.com/product/p/item?pid=BALFBXFKKEHPMPMK&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size,206.0,349.0,4.2,40% off,,,flipkart,Adrenex by Flipkart,BTPL Distribution Private Limited,349.0,"{'Sales Package': '3 Tennis Ball', 'Model Name': 'Adrenex Silver Pack of 3 / Light_Int', 'Needle Included': 'No', 'Age Group': '5-14 Years', 'Designed For': 'Beginner', 'Stitching Type': 'Rubber Moulded', 'First Layer': 'Light tennis fur', 'Other Features': 'Ideal for gully Cricket'}",1681658995251915000
